元史地名考,02078233
元史新编,02078784-48
元史本證,02078216-11
元史氏族表,02078214
元史纪事本末,06081322-3
元史续编,06064910-3
元史艺文志,02091116
元史译文證补,02078228-4
元名臣事略,06067843-4
元和姓纂,06065087-7
元和郡县志,06061210-14
元季伏莽志,02083836-5
元宪集,06051072-6
元宪集,06051072-6
元懒翁诗集,02099887
元文类,06078320-24
元文类,06078320-24
元曲选,02111081-72
元朝典故编年考,06044838|06044839|06044840|06071346
元朝秘史,02078730-11
元氏长庆集,06080020-8
元氏长庆集,06080020-8
元氏长庆集补遗,06080029
元氏长庆集补遗,06080029
元祐党人传,02083760-4
元秘史山川地名考,02078756
元秘史李注补正,02078751-4
元秘史注,02078742-8
元经,06057064-2
元艺圃集,06060690-2
元艺圃集,06060690-2
元诗体要,06058331-6
元诗体要,06058331-6
元诗纪事,02110077-6
元诗选三集,06069047|06069048|06069049|06069053|06069054|06075044|06075045|06075046|06075049|06075050|06075051|06075053|06075054|06075055
元诗选三集,06069047|06069048|06069049|06069053|06069054|06075044|06075045|06075046|06075049|06075050|06075051|06075053|06075054|06075055
元诗选二集,06069019|06069020|06069021|06069022|06069023|06069024|06069025|06069026|06069027|06069028|06069029|06069030|06069031|06069032|06069033|06069034|06069035|06069036|06069037|06069038|06069039|06069042|06069043|06075041|06075042
元诗选二集,06069019|06069020|06069021|06069022|06069023|06069024|06069025|06069026|06069027|06069028|06069029|06069030|06069031|06069032|06069033|06069034|06069035|06069036|06069037|06069038|06069039|06069042|06069043|06075041|06075042
元诗选初集,06068968|06068969|06068975|06068977|06068978|06068992|06069006|06069007|06069008|06069009|06069017|06069018|06074850|06074851|06074852|06074853|06074854|06074856|06074858|06074859|06074860|06074861|06074862|06074863|06074864|06074865|06074866|06074867|06074868|06074869|06074871|06074872|06074873|06074874|06074875|06074876|06074877|06074878|06074879|06074880|06074881|06074884|06074885|06074886|06074887|06074888
